"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","high school","standard","completed","75","85","91"
"male","group C","some high school","standard","none","66","65","61"
"male","group A","bachelor's degree","standard","none","58","66","63"
"male","group D","associate's degree","standard","none","82","69","77"
"male","group D","bachelor's degree","standard","none","60","70","66"
"male","group D","some college","standard","none","64","58","59"
"female","group C","some high school","free/reduced","none","35","41","45"
"female","group A","some college","free/reduced","completed","61","73","70"
"male","group B","high school","standard","none","55","53","45"
"female","group D","some high school","standard","completed","64","73","81"
"female","group C","high school","standard","completed","43","64","60"
"male","group A","some college","standard","completed","89","89","91"
"male","group C","high school","standard","completed","57","52","51"
"female","group E","high school","standard","none","82","90","84"
"female","group B","associate's degree","free/reduced","completed","61","68","74"
"female","group D","associate's degree","standard","none","56","64","62"
"male","group C","associate's degree","standard","none","90","77","68"
"female","group C","some college","free/reduced","none","42","57","53"
"male","group B","some high school","standard","none","66","62","62"
"male","group B","some college","standard","completed","79","81","82"
"male","group B","associate's degree","free/reduced","completed","48","52","46"
"female","group D","bachelor's degree","standard","none","82","90","91"
"female","group C","some college","free/reduced","completed","57","67","71"
"male","group D","some college","standard","none","68","67","63"
"male","group D","associate's degree","free/reduced","completed","41","54","52"
"female","group E","high school","free/reduced","none","76","86","79"
"male","group B","high school","free/reduced","completed","64","67","68"
"male","group C","bachelor's degree","free/reduced","completed","62","59","62"
"female","group B","some high school","standard","none","54","63","55"
"male","group D","some high school","standard","none","67","67","62"
"male","group B","bachelor's degree","standard","none","58","67","59"
"female","group D","high school","free/reduced","none","77","90","84"
"male","group B","some college","standard","none","73","66","62"
"male","group C","some college","standard","none","69","63","64"
"female","group C","high school","standard","none","51","64","56"
"female","group E","some high school","standard","none","80","93","89"
"female","group E","some high school","standard","none","85","88","80"
"female","group A","high school","standard","none","48","68","64"
"female","group C","bachelor's degree","free/reduced","completed","62","83","83"
"male","group B","high school","standard","none","60","55","51"
"male","group D","high school","free/reduced","none","67","69","62"
"female","group C","associate's degree","free/reduced","none","57","67","61"
"male","group B","associate's degree","standard","none","62","52","44"
