"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","some college","free/reduced","none","52","57","54"
"female","group C","some college","free/reduced","completed","74","92","88"
"female","group B","high school","standard","none","63","75","65"
"female","group D","some college","standard","none","73","81","79"
"male","group B","high school","free/reduced","none","47","34","31"
"female","group C","associate's degree","standard","none","71","84","79"
"male","group C","some high school","free/reduced","none","49","35","33"
"male","group D","master's degree","free/reduced","completed","65","76","76"
"male","group C","some high school","free/reduced","none","56","54","49"
"female","group C","some high school","standard","none","73","93","87"
"female","group C","some college","standard","none","57","69","67"
"male","group E","some college","free/reduced","none","61","50","49"
"female","group E","some college","standard","completed","74","73","68"
"male","group C","some college","free/reduced","none","74","72","70"
"female","group E","high school","standard","completed","92","97","98"
"female","group D","high school","free/reduced","none","50","52","59"
"male","group D","some high school","free/reduced","none","62","60","52"
"male","group C","high school","standard","none","47","39","42"
"female","group D","some college","standard","completed","77","79","84"
"female","group C","bachelor's degree","standard","none","87","88","91"
"male","group B","some college","free/reduced","none","53","57","51"
"male","group C","high school","standard","completed","83","75","75"
"female","group B","associate's degree","free/reduced","completed","79","83","89"
"male","group C","some college","standard","completed","74","73","72"
"male","group E","associate's degree","free/reduced","none","59","53","51"
"female","group C","bachelor's degree","standard","none","63","76","72"
"male","group D","high school","free/reduced","completed","79","86","86"
"male","group C","master's degree","standard","none","92","92","89"
"female","group B","some high school","standard","none","73","79","81"
"female","group B","associate's degree","free/reduced","completed","49","53","56"
"female","group A","associate's degree","free/reduced","none","61","79","78"
"female","group D","some college","free/reduced","none","56","71","66"
"female","group C","bachelor's degree","free/reduced","none","51","66","66"
"male","group B","bachelor's degree","standard","none","83","69","68"
"male","group C","associate's degree","standard","completed","71","75","72"
"male","group D","some college","free/reduced","none","91","76","76"
"male","group B","some college","standard","none","67","53","57"
"male","group D","high school","standard","none","50","48","46"
"female","group B","bachelor's degree","free/reduced","none","71","82","81"
"male","group D","high school","standard","none","51","53","51"
"male","group A","some high school","standard","completed","71","61","66"
"female","group C","bachelor's degree","standard","none","67","81","79"
"male","group B","associate's degree","standard","completed","73","74","77"
"male","group E","some high school","standard","none","98","88","84"
"male","group D","some high school","free/reduced","none","63","56","56"
"female","group C","high school","free/reduced","completed","52","78","72"
