"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","high school","free/reduced","none","70","66","63"
"male","group D","bachelor's degree","standard","none","88","84","85"
"male","group D","some college","standard","none","72","63","63"
"female","group E","some high school","standard","completed","74","80","85"
"male","group D","associate's degree","free/reduced","none","73","61","61"
"female","group C","bachelor's degree","standard","none","80","91","85"
"male","group D","associate's degree","standard","none","87","73","68"
"female","group C","some college","standard","none","77","78","81"
"female","group A","high school","free/reduced","none","65","70","68"
"male","group C","some college","standard","completed","50","55","52"
"female","group B","high school","standard","completed","86","99","91"
"female","group B","some college","standard","none","57","67","61"
"female","group B","high school","standard","none","77","86","79"
"female","group A","high school","free/reduced","none","54","67","65"
"female","group D","bachelor's degree","standard","completed","69","86","88"
"female","group D","some college","standard","completed","73","80","87"
"male","group D","associate's degree","standard","none","79","70","69"
"female","group B","associate's degree","standard","completed","93","97","96"
"female","group B","some college","free/reduced","none","42","52","49"
"male","group B","high school","standard","none","74","63","57"
"female","group B","master's degree","standard","none","58","73","70"
"male","group E","some college","standard","none","84","66","65"
"male","group E","associate's degree","standard","none","100","85","85"
"male","group C","some high school","standard","none","70","62","56"
"male","group D","high school","standard","none","78","73","67"
"male","group E","bachelor's degree","standard","none","81","79","79"
"male","group C","bachelor's degree","free/reduced","none","57","53","55"
"female","group B","associate's degree","free/reduced","none","42","44","44"
"female","group C","high school","standard","none","48","57","54"
"male","group C","associate's degree","free/reduced","none","72","75","69"
"female","group D","associate's degree","standard","none","72","83","84"
"male","group E","high school","free/reduced","none","77","82","78"
"male","group E","associate's degree","free/reduced","none","69","70","65"
"female","group D","some college","standard","completed","71","78","88"
"female","group E","some college","free/reduced","none","69","70","76"
"male","group C","some high school","standard","completed","60","55","53"
"female","group A","associate's degree","standard","none","50","55","53"
"male","group D","some college","standard","none","69","59","59"
"female","group D","some college","standard","completed","98","100","100"
"male","group B","some college","standard","completed","63","67","65"
"male","group D","bachelor's degree","free/reduced","none","71","68","72"
"female","group B","associate's degree","standard","none","61","63","69"
"female","group C","bachelor's degree","standard","none","74","83","83"
"male","group E","bachelor's degree","standard","none","98","79","84"
"male","group C","master's degree","standard","completed","86","85","87"
"male","group C","some college","free/reduced","completed","69","64","63"
"female","group C","high school","standard","none","81","89","86"
"male","group C","master's degree","standard","none","71","62","64"
"female","group B","some college","free/reduced","none","51","67","58"
"female","group D","associate's degree","free/reduced","none","83","95","92"
"male","group B","associate's degree","free/reduced","completed","72","73","75"
"male","group E","associate's degree","standard","completed","92","86","84"
"female","group C","master's degree","free/reduced","none","71","90","89"
"female","group C","some high school","standard","none","55","66","62"
"male","group C","associate's degree","standard","completed","85","84","83"
"male","group C","associate's degree","free/reduced","none","83","71","75"
"male","group D","high school","standard","none","70","71","69"
"male","group D","some high school","free/reduced","completed","62","70","60"
