"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","high school","free/reduced","none","52","70","63"
"female","group B","associate's degree","standard","completed","70","72","75"
"male","group A","some college","free/reduced","none","50","47","51"
"female","group C","some high school","standard","none","60","58","59"
"male","group D","associate's degree","standard","none","91","70","79"
"female","group B","associate's degree","standard","none","67","70","74"
"male","group C","some high school","free/reduced","completed","51","52","52"
"female","group E","associate's degree","standard","none","80","75","79"
"female","group B","high school","standard","none","56","68","60"
"female","group B","some high school","standard","completed","75","87","83"
"female","group B","some college","free/reduced","none","61","62","64"
"male","group D","some high school","free/reduced","none","51","58","49"
"male","group D","some college","standard","none","83","73","75"
"female","group E","some college","standard","none","61","56","63"
"female","group C","high school","standard","completed","62","66","73"
"male","group D","associate's degree","standard","none","75","71","69"
"female","group D","high school","standard","none","82","83","87"
"female","group C","high school","free/reduced","completed","69","83","89"
"male","group C","some high school","standard","completed","65","69","68"
"male","group C","associate's degree","free/reduced","none","57","53","50"
"female","group B","high school","standard","none","33","45","41"
"female","group B","bachelor's degree","standard","none","52","58","63"
"female","group A","high school","standard","completed","83","74","77"
"female","group D","high school","standard","none","62","70","69"
"male","group C","some high school","standard","none","63","73","62"
"female","group C","master's degree","standard","none","86","94","86"
"male","group C","some college","standard","completed","88","80","87"
"female","group C","bachelor's degree","free/reduced","none","54","69","64"
"female","group E","master's degree","standard","none","96","90","91"
"female","group D","associate's degree","standard","none","75","82","83"
"male","group C","some high school","free/reduced","none","55","50","49"
"male","group B","some high school","standard","none","61","53","55"
"female","group D","some high school","standard","completed","65","77","75"
"female","group B","master's degree","standard","none","58","70","70"
"male","group B","associate's degree","free/reduced","completed","60","63","66"
"male","group B","some high school","standard","none","46","47","36"
"male","group D","high school","standard","completed","52","57","61"
"male","group D","high school","standard","completed","81","71","73"
"male","group B","associate's degree","free/reduced","none","54","60","55"
"female","group E","high school","standard","none","62","60","63"
"male","group E","some college","standard","none","79","61","62"
"female","group D","some college","standard","none","62","71","69"
"female","group E","bachelor's degree","free/reduced","none","61","65","64"
"female","group D","some high school","standard","none","79","79","76"
"male","group D","some college","standard","none","79","67","65"
"male","group A","some college","standard","none","66","65","54"
"female","group C","some college","standard","none","82","91","94"
"male","group D","some college","standard","completed","77","83","86"
"female","group E","bachelor's degree","standard","completed","77","91","92"
