"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","high school","standard","completed","71","84","85"
"male","group E","associate's degree","free/reduced","completed","78","79","79"
"male","group E","high school","standard","none","59","63","56"
"male","group D","associate's degree","standard","none","70","65","62"
"female","group E","some high school","standard","completed","83","88","86"
"male","group C","some college","standard","completed","78","80","81"
"male","group D","associate's degree","standard","none","85","71","70"
"male","group D","high school","standard","none","53","47","49"
"female","group D","some college","standard","none","71","70","74"
"male","group D","some college","standard","none","57","60","57"
"female","group E","high school","standard","none","51","47","51"
"male","group D","some college","free/reduced","none","70","73","67"
"male","group B","some college","standard","completed","82","81","84"
"female","group B","high school","standard","none","45","53","50"
"male","group A","some college","free/reduced","none","59","67","61"
"female","group B","associate's degree","free/reduced","none","51","69","58"
"female","group B","bachelor's degree","free/reduced","none","48","63","59"
"male","group D","some high school","standard","completed","70","58","65"
"female","group E","some college","free/reduced","completed","79","100","100"
"male","group D","some college","standard","none","70","71","67"
"male","group B","high school","standard","completed","93","94","96"
"female","group A","high school","standard","completed","67","76","71"
"female","group B","some high school","standard","completed","81","93","94"
"male","group C","some college","free/reduced","none","55","48","46"
"female","group E","some college","standard","completed","81","88","96"
"female","group C","master's degree","free/reduced","completed","76","81","85"
"male","group D","high school","free/reduced","completed","80","86","83"
"female","group B","bachelor's degree","standard","completed","78","85","84"
"male","group C","some college","standard","none","70","70","61"
"female","group E","some college","standard","none","90","90","86"
"female","group B","some college","free/reduced","completed","48","58","67"
"male","group D","high school","free/reduced","none","85","87","79"
"female","group A","some high school","free/reduced","none","55","64","64"
"male","group D","bachelor's degree","free/reduced","none","69","66","70"
"male","group A","high school","standard","none","84","83","77"
"male","group E","associate's degree","standard","none","71","55","64"
"female","group C","master's degree","standard","completed","93","95","100"
"female","group B","bachelor's degree","standard","none","47","49","53"
"female","group B","some high school","standard","none","43","48","49"
"female","group D","master's degree","standard","completed","63","73","81"
"female","group B","some high school","standard","completed","67","84","81"
"female","group D","master's degree","standard","none","79","98","100"
"male","group E","some college","standard","none","96","87","79"
"female","group A","bachelor's degree","standard","none","72","82","76"
"male","group C","master's degree","standard","completed","74","61","61"
"female","group D","bachelor's degree","standard","none","74","82","87"
"male","group C","high school","standard","none","74","65","65"
"female","group C","some college","standard","none","76","79","85"
"male","group B","bachelor's degree","free/reduced","completed","54","51","49"
"male","group D","high school","standard","completed","61","58","55"
"female","group C","some high school","free/reduced","completed","71","86","78"
"female","group C","associate's degree","standard","completed","76","89","88"
"male","group C","associate's degree","standard","none","66","58","58"
"male","group C","some high school","standard","completed","83","79","80"
"female","group C","some high school","free/reduced","completed","72","83","84"
"male","group E","some college","free/reduced","completed","52","46","45"
"female","group C","associate's degree","standard","completed","78","100","100"
"male","group C","master's degree","standard","none","56","51","50"
"female","group B","associate's degree","standard","none","83","100","93"
"female","group E","some college","standard","none","71","74","74"
"female","group B","associate's degree","free/reduced","none","33","50","51"
"male","group D","some high school","standard","completed","67","61","63"
"male","group C","some college","standard","none","83","80","76"
"male","group D","some high school","standard","completed","71","68","67"
"male","group D","high school","free/reduced","completed","65","62","65"
"male","group C","bachelor's degree","standard","none","91","80","88"
"male","group D","associate's degree","free/reduced","completed","75","71","75"
"male","group B","master's degree","standard","none","71","75","72"
"male","group C","master's degree","free/reduced","none","94","92","87"
"female","group C","some high school","standard","none","45","51","46"
"male","group E","master's degree","standard","none","81","62","59"
"male","group B","some high school","standard","none","56","46","40"
"male","group B","bachelor's degree","standard","none","76","72","68"
"female","group A","some high school","standard","none","69","70","71"
"female","group B","associate's degree","free/reduced","none","48","55","58"
"female","group D","some high school","standard","none","56","63","60"
"male","group D","associate's degree","standard","completed","98","99","100"
"male","group C","some college","standard","completed","91","79","79"
"male","group C","some high school","free/reduced","none","53","63","56"
"male","group D","some high school","free/reduced","none","69","64","65"
"female","group E","master's degree","free/reduced","none","76","88","79"
"female","group B","master's degree","standard","none","69","85","85"
"male","group A","some high school","standard","none","69","71","66"
"male","group C","bachelor's degree","standard","completed","87","81","87"
"male","group C","some college","free/reduced","none","52","43","42"
"female","group C","some college","standard","none","56","60","60"
"female","group D","some college","standard","none","62","70","73"
"male","group C","associate's degree","free/reduced","none","43","45","37"
"male","group D","some college","standard","completed","84","72","71"
"female","group D","some college","free/reduced","none","79","91","88"
"male","group D","some college","standard","completed","79","79","80"
"male","group C","high school","standard","none","68","63","62"
"female","group D","some high school","free/reduced","none","41","54","55"
"female","group C","high school","free/reduced","none","69","82","78"
"female","group D","some college","standard","none","63","67","75"
"male","group C","associate's degree","free/reduced","none","46","45","49"
"female","group E","some college","standard","completed","65","69","69"
"female","group C","high school","standard","none","85","84","84"
"female","group D","some college","standard","none","80","90","93"
"female","group C","some high school","standard","completed","68","77","81"
"female","group E","associate's degree","free/reduced","completed","90","100","98"
"male","group C","high school","standard","completed","47","46","52"
"male","group C","associate's degree","free/reduced","completed","50","45","45"
"male","group B","high school","free/reduced","completed","63","60","51"
"male","group C","high school","standard","none","71","62","63"
"male","group D","associate's degree","standard","none","83","81","77"
"male","group C","high school","standard","completed","68","62","58"
"male","group E","associate's degree","free/reduced","none","71","75","65"
"male","group B","high school","standard","none","59","56","54"
"male","group C","some college","standard","completed","77","81","77"
"female","group B","associate's degree","standard","completed","79","94","92"
"male","group C","some college","standard","completed","67","71","68"
"male","group C","bachelor's degree","standard","none","66","68","62"
"female","group E","some high school","standard","none","59","67","64"
"male","group D","some college","standard","none","83","83","77"
"female","group D","some high school","standard","none","65","63","63"
"female","group C","some high school","standard","completed","89","100","94"
"male","group C","associate's degree","standard","completed","85","94","92"
"male","group A","associate's degree","standard","none","82","77","70"
"male","group E","master's degree","standard","completed","98","85","82"
"male","group E","associate's degree","standard","completed","100","87","89"
"male","group C","associate's degree","standard","completed","56","60","56"
"male","group D","associate's degree","standard","none","81","64","69"
"female","group D","some high school","standard","none","80","87","81"
"male","group C","some college","standard","completed","77","79","79"
"male","group B","some high school","free/reduced","none","59","61","54"
"female","group C","associate's degree","standard","none","62","59","53"
"female","group D","some college","standard","none","60","72","67"
"female","group E","some college","standard","none","83","82","78"
"male","group A","high school","standard","none","58","55","52"
"female","group E","some high school","standard","none","55","56","53"
"female","group C","associate's degree","free/reduced","none","45","62","61"
"female","group A","some college","free/reduced","none","59","66","60"
"female","group E","some college","standard","completed","91","95","94"
"female","group D","some college","free/reduced","completed","57","66","69"
"male","group E","some high school","standard","completed","74","60","68"
"male","group C","some high school","free/reduced","completed","62","58","62"
"male","group E","high school","free/reduced","none","52","47","47"
"male","group B","some college","standard","completed","79","79","77"
"female","group D","high school","standard","none","44","45","49"
"male","group C","some high school","standard","completed","70","65","67"
"male","group B","some high school","standard","none","83","79","79"
"male","group B","high school","standard","completed","87","81","79"
"male","group C","high school","standard","completed","62","59","59"
"male","group C","some college","free/reduced","completed","60","59","59"
"male","group C","associate's degree","standard","completed","76","81","75"
"female","group B","associate's degree","standard","none","76","80","79"
"female","group C","associate's degree","standard","none","61","60","59"
"male","group D","some college","standard","none","77","60","64"
"male","group D","some high school","free/reduced","completed","68","68","68"
"male","group B","some college","standard","none","63","55","53"
"male","group B","some high school","standard","none","56","51","50"
"male","group D","some college","standard","none","64","67","67"
"male","group C","bachelor's degree","free/reduced","completed","29","45","43"
"male","group D","master's degree","standard","none","81","82","85"
"male","group A","some college","standard","none","57","60","50"
"female","group B","high school","free/reduced","none","57","62","65"
"female","group C","high school","free/reduced","completed","58","73","69"
"male","group B","some high school","standard","completed","68","64","63"
"male","group D","some college","standard","none","69","52","50"
"female","group D","master's degree","standard","none","64","78","77"
"female","group E","some high school","free/reduced","none","67","81","67"
"male","group B","associate's degree","standard","none","77","75","66"
"male","group C","high school","free/reduced","none","52","55","48"
"male","group E","high school","standard","completed","95","91","83"
"female","group D","bachelor's degree","standard","completed","77","72","83"
"male","group E","some high school","standard","none","74","61","52"
"male","group B","some college","standard","none","72","65","62"
"female","group A","some college","standard","completed","79","79","86"
"female","group D","some college","free/reduced","none","45","60","59"
"male","group C","some college","free/reduced","none","46","42","39"
"male","group D","some college","standard","completed","73","55","65"
"male","group B","high school","standard","completed","76","66","71"
"male","group D","some high school","free/reduced","completed","80","73","75"
"female","group A","some college","free/reduced","none","38","52","53"
"male","group B","some high school","free/reduced","none","46","46","41"
"female","group D","some high school","standard","completed","62","67","69"
"female","group D","associate's degree","free/reduced","completed","50","69","69"
"female","group D","some high school","standard","none","66","75","64"
"female","group A","master's degree","standard","none","65","73","71"
"male","group D","some college","standard","completed","86","87","89"
"female","group C","some college","standard","completed","45","56","55"
"male","group B","high school","standard","none","63","55","51"
"female","group D","high school","standard","completed","72","78","82"
"male","group D","high school","free/reduced","completed","88","86","85"
"female","group D","bachelor's degree","standard","none","81","75","82"
"female","group B","associate's degree","standard","none","29","46","41"
"male","group E","some college","free/reduced","none","76","71","73"
"female","group B","bachelor's degree","standard","none","87","97","91"
"male","group E","associate's degree","standard","none","94","90","86"
"male","group C","associate's degree","standard","none","54","53","45"
"female","group C","some high school","standard","none","59","74","72"
"female","group A","high school","standard","none","45","55","61"
"male","group C","some high school","standard","none","62","56","49"
"male","group E","associate's degree","standard","completed","96","86","80"
"female","group C","high school","standard","none","59","69","64"
"male","group E","some high school","standard","none","75","64","64"
"female","group B","master's degree","free/reduced","none","61","74","74"
"male","group B","high school","standard","none","61","57","51"
"male","group B","associate's degree","standard","completed","83","67","69"
"male","group E","some college","standard","none","66","70","64"
"male","group C","some high school","standard","none","56","53","53"
"female","group C","bachelor's degree","standard","none","83","99","95"
"male","group D","associate's degree","free/reduced","completed","74","63","71"
"female","group D","high school","standard","completed","76","77","90"
"female","group C","high school","standard","none","52","55","53"
"female","group B","some college","free/reduced","none","23","44","42"
"female","group C","high school","standard","completed","64","79","83"
"male","group C","bachelor's degree","standard","none","58","49","51"
"male","group D","some college","standard","completed","60","61","63"
"male","group E","bachelor's degree","free/reduced","none","90","84","77"
"male","group C","high school","standard","none","77","75","71"
"male","group C","some high school","standard","none","61","54","55"
"male","group C","associate's degree","standard","none","64","68","58"
"male","group D","master's degree","standard","none","99","95","98"
"female","group E","master's degree","free/reduced","none","71","78","76"
"male","group D","master's degree","standard","none","68","68","67"
"male","group D","master's degree","free/reduced","completed","86","79","87"
"female","group B","some college","standard","completed","71","82","86"
"male","group B","high school","standard","completed","81","67","69"
"female","group D","some college","standard","none","60","72","68"
"male","group C","some college","standard","none","81","80","79"
"male","group B","bachelor's degree","free/reduced","none","62","64","64"
"male","group D","some college","standard","none","52","50","44"
"male","group E","master's degree","standard","none","83","73","78"
"female","group D","master's degree","standard","none","87","90","94"
"female","group C","associate's degree","standard","none","88","91","96"
"male","group C","associate's degree","free/reduced","none","72","78","69"
"female","group C","some college","free/reduced","none","55","64","59"
"female","group C","bachelor's degree","free/reduced","completed","57","60","66"
"male","group C","associate's degree","standard","completed","77","75","74"
"female","group E","bachelor's degree","free/reduced","none","76","88","86"
"male","group C","some high school","standard","none","71","71","65"
"female","group B","high school","standard","none","74","77","76"
"female","group A","high school","standard","none","65","69","69"
"male","group C","some high school","standard","none","86","78","78"
"female","group B","associate's degree","standard","none","12","24","18"
"female","group B","some college","standard","none","69","79","77"
"female","group B","some college","standard","none","72","74","81"
"male","group B","some college","free/reduced","none","48","51","50"
"female","group D","some college","standard","none","72","82","76"
"female","group C","some high school","standard","none","66","72","69"
"male","group D","high school","standard","none","67","67","73"
"female","group C","master's degree","standard","none","79","77","78"
"male","group A","associate's degree","free/reduced","none","65","74","62"
"male","group C","some high school","standard","completed","75","66","66"
"male","group D","associate's degree","standard","none","81","79","74"
"female","group D","some high school","standard","completed","75","89","86"
"female","group B","associate's degree","standard","completed","96","100","100"
"male","group B","high school","standard","none","58","63","58"
"female","group C","high school","free/reduced","none","34","58","49"
"male","group E","some college","standard","completed","95","82","81"
"female","group A","high school","standard","none","60","66","68"
"male","group D","associate's degree","free/reduced","none","62","58","56"
"male","group D","some high school","free/reduced","none","81","74","66"
"female","group C","high school","standard","none","64","80","72"
"female","group A","some high school","standard","none","72","87","77"
"female","group B","high school","standard","completed","70","82","82"
"female","group B","associate's degree","free/reduced","completed","66","77","81"
"female","group C","some high school","standard","none","38","54","52"
"male","group C","master's degree","standard","completed","91","94","94"
"male","group C","some college","standard","none","67","60","54"
"male","group E","some college","free/reduced","completed","64","60","54"
"male","group D","associate's degree","standard","completed","76","70","74"
"female","group D","some high school","standard","none","73","76","75"
"female","group B","associate's degree","standard","none","69","78","80"
"male","group C","high school","free/reduced","none","55","61","60"
"male","group E","some college","standard","none","67","65","62"
"female","group C","some college","standard","completed","81","81","86"
"female","group C","some college","standard","none","74","79","80"
"female","group C","associate's degree","standard","none","90","100","96"
"male","group C","high school","standard","none","66","67","59"
"female","group D","high school","standard","none","67","64","72"
"female","group B","high school","standard","none","49","52","47"
"female","group D","some college","free/reduced","completed","58","78","78"
"male","group D","bachelor's degree","standard","none","72","65","70"
"female","group E","some high school","free/reduced","none","77","84","77"
"female","group C","some college","standard","none","68","69","67"
"female","group C","bachelor's degree","standard","none","68","80","78"
"male","group B","some college","standard","none","70","68","63"
"female","group B","some college","standard","completed","67","74","75"
"male","group B","high school","standard","completed","91","93","91"
"male","group B","some high school","standard","none","69","62","59"
"male","group D","associate's degree","free/reduced","none","70","67","64"
"male","group C","master's degree","free/reduced","none","60","46","48"
"male","group D","some college","free/reduced","none","85","82","81"
"female","group C","master's degree","standard","none","60","70","72"
"male","group E","master's degree","standard","none","94","83","81"
"male","group D","some high school","standard","completed","82","71","78"
"female","group D","bachelor's degree","standard","none","85","92","95"
"male","group B","associate's degree","standard","none","78","71","64"
"male","group B","high school","free/reduced","completed","46","52","43"
"male","group D","associate's degree","free/reduced","none","84","80","82"
"female","group E","some college","standard","none","72","79","74"
"male","group D","some college","standard","none","83","79","79"
"male","group D","some college","free/reduced","none","76","78","78"
"female","group D","some college","standard","none","79","89","80"
"female","group D","some college","free/reduced","completed","68","88","89"
"female","group A","associate's degree","free/reduced","completed","57","77","80"
"male","group A","some high school","free/reduced","none","44","50","40"
"male","group B","associate's degree","standard","none","87","80","75"
"male","group B","some high school","standard","completed","68","60","63"
"male","group A","some college","standard","completed","70","67","65"
"male","group C","some high school","standard","none","91","82","79"
"male","group C","some high school","standard","none","48","43","43"
"male","group C","high school","free/reduced","none","66","64","61"
"male","group C","associate's degree","standard","none","46","51","47"
"male","group C","some high school","standard","completed","56","60","58"
"female","group B","master's degree","standard","completed","79","92","98"
"male","group C","associate's degree","standard","none","67","62","62"
"female","group E","some high school","standard","completed","85","96","93"
"male","group D","high school","free/reduced","none","32","30","30"
"female","group D","some college","standard","none","69","75","75"
"female","group C","bachelor's degree","standard","completed","69","85","85"
"male","group D","some high school","standard","completed","75","66","70"
"male","group D","some college","standard","completed","72","67","71"
"male","group C","some high school","free/reduced","none","51","49","41"
"female","group B","high school","standard","none","45","54","54"
