"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","some high school","standard","none","60","60","69"
"female","group C","associate's degree","standard","none","69","81","83"
"male","group D","some college","standard","completed","79","77","81"
"male","group D","master's degree","standard","completed","93","97","100"
"male","group B","some college","free/reduced","none","61","62","58"
"female","group D","bachelor's degree","standard","completed","71","75","74"
"male","group B","high school","standard","completed","72","63","63"
"male","group B","master's degree","free/reduced","completed","62","75","65"
"female","group A","some college","free/reduced","none","54","71","68"
"female","group B","associate's degree","standard","none","78","73","79"
"male","group D","bachelor's degree","standard","none","66","67","63"
"male","group D","some college","standard","none","79","80","77"
"male","group C","high school","standard","none","64","64","61"
"male","group D","some college","free/reduced","completed","73","74","72"
"male","group A","some college","free/reduced","completed","54","54","50"
"female","group D","high school","free/reduced","none","60","69","74"
"female","group B","high school","standard","completed","78","95","97"
"male","group C","some high school","standard","none","60","52","52"
"female","group D","some college","free/reduced","none","57","68","63"
"female","group D","associate's degree","standard","completed","98","98","100"
"male","group B","associate's degree","standard","none","80","74","74"
"female","group E","high school","standard","completed","71","76","76"
"female","group B","high school","standard","none","48","51","47"
"male","group A","some college","standard","completed","71","68","67"
"female","group C","master's degree","free/reduced","none","41","52","50"
"female","group C","some high school","standard","none","55","68","61"
"male","group B","some college","standard","none","79","63","68"
"female","group C","associate's degree","standard","none","77","87","88"
"male","group C","high school","standard","completed","96","90","89"
"male","group D","some high school","standard","none","66","63","58"
"male","group E","some college","standard","none","100","95","92"
"female","group E","some college","free/reduced","none","50","55","53"
"male","group D","some college","standard","none","93","83","83"
"male","group A","some high school","free/reduced","completed","42","45","44"
"male","group C","associate's degree","free/reduced","none","68","63","65"
"female","group D","bachelor's degree","standard","none","81","85","84"
"male","group C","some college","standard","completed","78","66","66"
"male","group D","some high school","free/reduced","none","35","42","26"
"male","group B","high school","free/reduced","completed","73","73","75"
"male","group B","high school","standard","none","65","51","46"
"female","group D","associate's degree","free/reduced","none","56","60","51"
"female","group B","bachelor's degree","free/reduced","completed","66","74","72"
"female","group A","some high school","free/reduced","none","64","73","63"
"male","group D","bachelor's degree","standard","completed","70","64","59"
"male","group C","high school","free/reduced","none","55","51","52"
"female","group C","associate's degree","standard","none","82","90","92"
"male","group D","some college","standard","completed","72","80","74"
"female","group B","high school","free/reduced","completed","64","76","78"
"male","group C","high school","standard","none","75","64","64"
"male","group A","high school","standard","none","65","59","56"
"female","group C","some high school","standard","completed","67","80","77"
"female","group C","some high school","free/reduced","none","56","70","73"
"male","group C","master's degree","standard","completed","79","77","82"
"female","group E","high school","free/reduced","none","73","76","73"
"female","group C","some high school","standard","completed","70","76","73"
"male","group C","some college","free/reduced","none","26","38","31"
"female","group C","associate's degree","standard","none","77","80","75"
"male","group B","associate's degree","standard","none","71","71","68"
"female","group D","high school","free/reduced","completed","46","64","69"
"female","group B","some college","standard","none","85","96","93"
"male","group C","associate's degree","standard","none","60","50","46"
"male","group B","associate's degree","standard","completed","89","92","95"
"female","group A","high school","free/reduced","none","33","43","39"
"male","group D","high school","standard","none","56","51","51"
"female","group D","some college","standard","none","50","61","63"
"male","group B","some college","standard","none","50","41","35"
"male","group D","bachelor's degree","free/reduced","none","60","62","60"
"female","group B","master's degree","standard","none","85","86","81"
"male","group C","some high school","standard","completed","56","65","62"
"female","group D","some college","standard","none","53","70","72"
"male","group E","some college","standard","none","100","96","83"
"female","group D","high school","free/reduced","none","63","64","64"
"male","group D","some college","standard","none","58","51","54"
"male","group C","some college","standard","completed","81","73","82"
"female","group D","associate's degree","standard","none","60","65","70"
"male","group D","bachelor's degree","free/reduced","completed","64","68","71"
"female","group D","some college","free/reduced","none","56","68","66"
"female","group A","some high school","standard","none","78","89","81"
"male","group A","high school","standard","none","88","88","81"
"male","group D","high school","free/reduced","none","60","66","58"
"male","group D","high school","free/reduced","none","76","82","82"
"female","group B","some high school","free/reduced","completed","64","69","70"
"male","group E","associate's degree","standard","none","57","57","54"
"male","group B","associate's degree","standard","none","66","63","63"
"female","group D","associate's degree","free/reduced","completed","59","69","72"
"female","group D","some high school","standard","none","67","61","63"
"male","group C","some high school","standard","completed","68","67","62"
"male","group C","some college","standard","none","52","53","44"
"male","group D","bachelor's degree","standard","none","72","75","72"
"female","group C","bachelor's degree","standard","none","62","65","65"
"female","group C","some college","standard","none","61","58","63"
"male","group A","high school","free/reduced","none","51","50","46"
"female","group A","bachelor's degree","standard","none","45","56","52"
"male","group E","associate's degree","standard","completed","81","76","75"
"female","group C","some high school","free/reduced","none","47","53","56"
"female","group C","some high school","standard","none","65","68","67"
"male","group D","some high school","standard","none","65","52","49"
"female","group B","some college","standard","none","80","81","82"
"female","group C","some high school","free/reduced","completed","39","60","60"
"male","group C","bachelor's degree","free/reduced","none","83","84","81"
"female","group D","some college","standard","none","77","84","81"
"male","group D","some college","standard","completed","79","75","85"
"female","group C","associate's degree","standard","completed","71","80","82"
"female","group C","some high school","free/reduced","none","49","64","60"
"male","group D","associate's degree","free/reduced","completed","45","54","49"
"female","group C","some high school","free/reduced","completed","63","80","71"
"male","group C","bachelor's degree","standard","completed","89","79","81"
"male","group A","high school","free/reduced","none","58","63","53"
"male","group D","some college","free/reduced","none","75","73","68"
"male","group D","some high school","free/reduced","none","63","61","59"
"female","group D","some high school","free/reduced","none","35","54","47"
"female","group C","high school","free/reduced","completed","75","82","85"
"female","group B","associate's degree","free/reduced","none","68","77","76"
"female","group C","associate's degree","free/reduced","none","29","43","46"
"male","group D","bachelor's degree","free/reduced","none","37","46","42"
"male","group C","some college","standard","completed","84","64","67"
"male","group C","bachelor's degree","standard","completed","74","69","65"
"male","group A","master's degree","free/reduced","none","67","73","64"
"male","group A","bachelor's degree","standard","completed","100","89","92"
"female","group D","master's degree","standard","completed","74","90","100"
"male","group B","some college","free/reduced","none","60","59","55"
"female","group C","high school","free/reduced","none","43","54","52"
"female","group E","some college","standard","completed","93","96","97"
"male","group D","bachelor's degree","standard","none","68","70","69"
"female","group C","some college","standard","completed","70","85","81"
"male","group C","some college","free/reduced","none","69","63","56"
"male","group E","master's degree","free/reduced","none","41","46","45"
"female","group D","master's degree","standard","completed","89","98","100"
"male","group D","master's degree","standard","completed","78","68","72"
"male","group A","associate's degree","standard","none","85","81","76"
"male","group C","high school","standard","none","63","55","55"
"female","group D","associate's degree","standard","completed","76","88","84"
"female","group E","master's degree","standard","none","75","73","73"
"male","group C","some college","standard","none","46","46","43"
"male","group E","some high school","free/reduced","none","56","50","46"
"male","group E","bachelor's degree","free/reduced","none","51","62","55"
"female","group C","some college","free/reduced","none","45","57","50"
"female","group B","some high school","standard","completed","73","86","90"
"female","group B","associate's degree","free/reduced","completed","59","75","78"
"female","group D","associate's degree","free/reduced","none","50","72","71"
"male","group A","some college","standard","none","74","69","67"
"female","group D","some college","free/reduced","none","55","65","66"
"female","group C","high school","free/reduced","none","46","56","48"
"male","group D","bachelor's degree","standard","none","74","69","71"
"female","group B","associate's degree","free/reduced","none","39","51","46"
"male","group B","associate's degree","standard","none","73","69","63"
"female","group B","high school","free/reduced","none","58","70","65"
"female","group D","some college","standard","none","58","67","56"
"female","group B","associate's degree","free/reduced","none","65","68","71"
"male","group C","some college","free/reduced","completed","46","48","42"
"male","group D","some high school","standard","none","80","93","91"
"male","group A","high school","standard","none","44","26","33"
"female","group A","some high school","free/reduced","none","64","77","76"
"female","group B","bachelor's degree","standard","none","53","43","46"
"male","group A","associate's degree","standard","none","82","78","73"
"female","group E","some high school","free/reduced","none","34","36","33"
"female","group B","some college","free/reduced","completed","62","70","73"
"female","group D","some high school","free/reduced","none","34","40","40"
"male","group D","associate's degree","standard","none","80","82","82"
"female","group C","some college","free/reduced","none","53","64","62"
"female","group C","some college","free/reduced","completed","61","84","79"
"female","group B","some college","free/reduced","none","73","80","78"
"female","group C","some high school","standard","none","67","62","71"
"male","group E","some high school","standard","completed","61","55","49"
"male","group E","associate's degree","standard","completed","91","75","82"
"male","group B","bachelor's degree","free/reduced","none","62","56","52"
"male","group B","associate's degree","standard","none","40","35","34"
"female","group B","master's degree","standard","none","53","74","72"
"female","group D","associate's degree","free/reduced","none","64","73","73"
"female","group E","bachelor's degree","standard","completed","84","92","97"
"male","group A","associate's degree","free/reduced","none","41","48","34"
"female","group C","associate's degree","standard","none","68","75","73"
"male","group A","master's degree","standard","completed","63","70","67"
"female","group C","high school","standard","none","61","79","77"
"female","group D","high school","free/reduced","completed","75","91","90"
"male","group E","bachelor's degree","free/reduced","completed","79","81","77"
"male","group C","some high school","standard","none","79","65","62"
"female","group E","some high school","free/reduced","none","62","61","64"
"female","group A","bachelor's degree","standard","none","64","72","71"
"female","group E","some high school","standard","none","76","81","76"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"male","group D","some college","free/reduced","none","54","40","46"
"female","group C","master's degree","free/reduced","none","50","70","62"
"female","group B","some college","standard","none","82","88","93"
"female","group B","some high school","standard","none","63","52","56"
"female","group B","some college","standard","completed","80","80","92"
"female","group D","some college","standard","none","71","80","83"
"male","group A","bachelor's degree","standard","completed","75","72","69"
"male","group E","high school","standard","none","92","94","85"
"male","group C","some college","free/reduced","none","68","77","63"
"male","group D","master's degree","standard","none","51","43","43"
"female","group C","some college","free/reduced","none","72","76","76"
"male","group B","some college","standard","completed","60","62","68"
"male","group D","some college","free/reduced","completed","80","71","79"
"female","group C","some high school","standard","completed","69","78","82"
"male","group E","associate's degree","standard","completed","79","75","69"
"female","group C","high school","standard","none","82","95","92"
"female","group B","some high school","free/reduced","none","72","72","71"
"female","group B","high school","free/reduced","completed","57","70","73"
"male","group B","some college","free/reduced","completed","57","66","59"
"male","group E","high school","free/reduced","completed","52","44","42"
"female","group A","high school","free/reduced","completed","63","73","73"
"female","group C","bachelor's degree","standard","completed","71","84","80"
"female","group B","high school","standard","completed","48","45","52"
"male","group D","high school","standard","none","74","74","66"
"female","group D","master's degree","standard","none","67","63","68"
"male","group D","associate's degree","standard","none","73","59","67"
"female","group D","associate's degree","standard","none","66","78","85"
"male","group E","some high school","standard","none","60","56","54"
"male","group C","high school","standard","none","59","47","48"
"male","group C","bachelor's degree","standard","none","49","63","55"
"male","group A","some college","free/reduced","completed","54","60","58"
"female","group C","some high school","standard","none","62","73","71"
"male","group D","some college","free/reduced","none","46","55","55"
"female","group E","high school","standard","none","67","66","67"
"female","group B","associate's degree","standard","none","85","93","95"
"male","group D","high school","standard","none","73","73","72"
"male","group C","some college","free/reduced","completed","69","77","71"
"female","group A","some college","standard","none","86","86","91"
"male","group A","associate's degree","standard","none","50","41","34"
"female","group E","high school","standard","none","94","100","100"
"male","group D","bachelor's degree","standard","none","59","59","56"
"female","group C","high school","free/reduced","completed","60","74","76"
"female","group C","high school","free/reduced","none","65","82","73"
"female","group C","associate's degree","standard","none","79","77","81"
"female","group C","some high school","standard","none","68","71","68"
"female","group B","some college","free/reduced","completed","67","82","85"
"male","group B","some college","free/reduced","completed","82","90","86"
"female","group C","master's degree","free/reduced","completed","63","94","92"
"male","group D","some college","standard","none","62","48","56"
"female","group D","bachelor's degree","standard","none","75","75","77"
"male","group D","master's degree","standard","completed","83","84","82"
"male","group B","bachelor's degree","free/reduced","completed","63","71","68"
"male","group D","master's degree","standard","completed","72","76","74"
"female","group E","high school","standard","completed","61","60","64"
"female","group C","high school","free/reduced","none","52","62","63"
"male","group C","high school","free/reduced","none","48","38","36"
"male","group B","some college","standard","none","85","76","76"
"male","group C","some college","free/reduced","none","46","51","42"
"male","group B","high school","standard","completed","92","93","94"
"male","group A","some college","standard","none","69","56","57"
"female","group D","some college","standard","none","81","88","96"
"male","group D","associate's degree","free/reduced","none","85","75","72"
"female","group D","bachelor's degree","standard","none","82","97","93"
"male","group D","associate's degree","standard","completed","85","84","85"
"male","group A","some high school","standard","completed","44","49","50"
"male","group C","some college","free/reduced","completed","73","74","72"
"female","group E","some high school","standard","none","94","93","83"
"male","group D","some high school","standard","none","57","58","54"
"male","group B","master's degree","free/reduced","none","52","58","48"
"female","group C","high school","standard","none","70","70","72"
"male","group E","associate's degree","standard","none","89","85","69"
"female","group C","bachelor's degree","free/reduced","completed","50","60","64"
"male","group C","bachelor's degree","standard","none","75","60","69"
"male","group A","master's degree","free/reduced","completed","78","74","70"
"female","group B","associate's degree","standard","completed","70","78","81"
