"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","associate's degree","free/reduced","completed","62","79","82"
"male","group D","some high school","free/reduced","none","55","56","49"
"male","group B","bachelor's degree","standard","completed","68","64","66"
"male","group D","bachelor's degree","free/reduced","none","40","49","38"
"male","group A","some college","free/reduced","completed","60","59","53"
"female","group A","bachelor's degree","standard","completed","81","90","95"
"female","group C","high school","free/reduced","none","56","67","63"
"male","group B","some college","standard","none","65","71","69"
"female","group B","some college","standard","none","57","64","61"
"female","group A","associate's degree","standard","none","71","83","82"
"female","group C","some college","standard","none","65","76","71"
"female","group E","some high school","standard","completed","88","91","95"
"female","group E","some college","free/reduced","none","68","73","72"
"female","group E","some college","free/reduced","completed","82","86","90"
"male","group C","master's degree","standard","none","82","78","71"
"female","group D","some college","standard","none","82","88","91"
"male","group B","some college","standard","completed","55","48","49"
"female","group D","master's degree","free/reduced","none","45","58","62"
"male","group C","associate's degree","standard","none","55","49","44"
"male","group D","high school","standard","completed","61","47","47"
"male","group A","bachelor's degree","standard","none","80","75","77"
"female","group C","master's degree","free/reduced","none","50","64","65"
"female","group D","some college","standard","none","82","89","86"
"male","group C","associate's degree","free/reduced","completed","57","47","48"
"female","group A","associate's degree","standard","none","49","59","62"
"male","group D","associate's degree","free/reduced","none","58","54","52"
"male","group C","associate's degree","standard","none","80","73","77"
"female","group D","bachelor's degree","standard","completed","67","71","77"
"female","group E","high school","standard","none","74","83","77"
"male","group C","master's degree","standard","completed","76","79","74"
"female","group A","high school","free/reduced","completed","55","75","72"
"female","group C","high school","standard","completed","45","54","54"
"female","group B","some college","standard","none","73","79","83"
"male","group B","some high school","standard","completed","87","75","74"
"male","group D","associate's degree","free/reduced","completed","66","65","73"
"female","group A","associate's degree","standard","none","61","77","76"
"male","group D","some high school","standard","none","96","82","78"
"male","group D","some college","free/reduced","none","46","41","41"
"female","group C","some high school","standard","completed","44","66","66"
"female","group C","master's degree","standard","completed","98","100","100"
"male","group E","some college","standard","none","73","63","53"
"female","group E","bachelor's degree","standard","none","73","64","70"
